antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Agriculture_Land_Category_Low_Agriculture_Land, Policy_Category_Weak_Policy","Corruption_Category_High_Corruption, Aid_Category_High_Aid",0.23,0.3,0.12,0.5217391304347826,1.7391304347826086,1.0,0.05099999999999999,1.4636363636363634,0.5519480519480519,0.2926829268292683,0.31677018633540377,0.4608695652173913
Country_Indonesia,"Population_Category_High_Population, Corruption_Category_High_Corruption",0.23,0.3,0.12,0.5217391304347826,1.7391304347826086,1.0,0.05099999999999999,1.4636363636363634,0.5519480519480519,0.2926829268292683,0.31677018633540377,0.4608695652173913
"Country_Indonesia, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Tree_Cover_Loss_Category_High_Tree_Cover_Loss,0.17,0.34,0.1,0.5882352941176471,1.7301038062283736,1.0,0.042199999999999994,1.6028571428571428,0.508433734939759,0.24390243902439024,0.376114081996435,0.4411764705882353
"Rainfall_Category_Low_Rainfall, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Protected_Areas_Category_Medium_Protected_Area,0.23,0.33,0.13,0.5652173913043478,1.7127799736495386,1.0,0.054099999999999995,1.5409999999999997,0.5404595404595404,0.3023255813953488,0.3510707332900713,0.47957839262187085
"Aid_Category_Medium_Aid, Policy_Category_Weak_Policy",Population_Category_Medium_Population,0.23,0.33,0.13,0.5652173913043478,1.7127799736495386,1.0,0.054099999999999995,1.5409999999999997,0.5404595404595404,0.3023255813953488,0.3510707332900713,0.47957839262187085
"Agriculture_Land_Category_Low_Agriculture_Land, Policy_Category_Weak_Policy",Aid_Category_High_Aid,0.23,0.33,0.13,0.5652173913043478,1.7127799736495386,1.0,0.054099999999999995,1.5409999999999997,0.5404595404595404,0.3023255813953488,0.3510707332900713,0.47957839262187085
"Country_Indonesia, Policy_Category_Weak_Policy",Tree_Cover_Loss_Category_High_Tree_Cover_Loss,0.19,0.34,0.11,0.5789473684210527,1.7027863777089782,1.0,0.045399999999999996,1.5675,0.5095398428731761,0.26190476190476186,0.3620414673046252,0.45123839009287925
"Protected_Areas_Category_High_Protected_Area, Aid_Category_Medium_Aid",Population_Category_Medium_Population,0.18,0.33,0.1,0.5555555555555556,1.6835016835016834,1.0,0.040600000000000004,1.5074999999999998,0.49512195121951214,0.24390243902439024,0.33665008291873966,0.4292929292929293
"Aid_Category_Medium_Aid, Policy_Category_Weak_Policy","Population_Category_Medium_Population, Corruption_Category_High_Corruption",0.23,0.31,0.12,0.5217391304347826,1.6830294530154277,1.0,0.04869999999999999,1.4427272727272726,0.527056277056277,0.2857142857142857,0.3068683049779458,0.4544179523141655
"Population_Category_Medium_Population, Policy_Category_Weak_Policy","Corruption_Category_High_Corruption, Aid_Category_Medium_Aid",0.23,0.31,0.12,0.5217391304347826,1.6830294530154277,1.0,0.04869999999999999,1.4427272727272726,0.527056277056277,0.2857142857142857,0.3068683049779458,0.4544179523141655
"Population_Category_High_Population, Policy_Category_Weak_Policy","Rainfall_Category_Low_Rainfall, Corruption_Category_High_Corruption",0.23,0.31,0.12,0.5217391304347826,1.6830294530154277,1.0,0.04869999999999999,1.4427272727272726,0.527056277056277,0.2857142857142857,0.3068683049779458,0.4544179523141655
"Country_Indonesia, Corruption_Category_High_Corruption",Population_Category_High_Population,0.21,0.34,0.12,0.5714285714285714,1.6806722689075628,1.0,0.04859999999999999,1.5399999999999996,0.5126582278481012,0.2790697674418604,0.3506493506493506,0.4621848739495798
"Protected_Areas_Category_Medium_Protected_Area, Policy_Category_Weak_Policy","Rainfall_Category_Low_Rainfall, Corruption_Category_High_Corruption",0.25,0.31,0.13,0.52,1.6774193548387097,1.0,0.052500000000000005,1.4375,0.5384615384615385,0.3023255813953488,0.3043478260869566,0.46967741935483875
"Rainfall_Category_Low_Rainfall, Policy_Category_Weak_Policy","Corruption_Category_High_Corruption, Aid_Category_High_Aid",0.24,0.3,0.12,0.5,1.6666666666666667,1.0,0.048,1.4,0.5263157894736842,0.2857142857142857,0.28571428571428575,0.45
"Rainfall_Category_Low_Rainfall, Policy_Category_Weak_Policy","Population_Category_High_Population, Corruption_Category_High_Corruption",0.24,0.3,0.12,0.5,1.6666666666666667,1.0,0.048,1.4,0.5263157894736842,0.2857142857142857,0.28571428571428575,0.45
"Year_Category_Middle_Year, Policy_Category_Weak_Policy","Corruption_Category_High_Corruption, Forest_Loss_Category_Low_Forest_Loss",0.22,0.3,0.11,0.5,1.6666666666666667,1.0,0.044,1.4,0.5128205128205128,0.26829268292682923,0.28571428571428575,0.43333333333333335
"Policy_Category_Weak_Policy, Tree_Cover_Loss_Category_Low_Tree_Cover_Loss","Corruption_Category_High_Corruption, Rainfall_Category_Medium_Rainfall",0.2,0.3,0.1,0.5,1.6666666666666667,1.0,0.04000000000000001,1.4,0.5,0.25,0.28571428571428575,0.4166666666666667
"Corruption_Category_High_Corruption, Country_Brazil",Population_Category_Medium_Population,0.2,0.33,0.11,0.5499999999999999,1.6666666666666663,1.0,0.044,1.4888888888888885,0.49999999999999994,0.26190476190476186,0.3283582089552238,0.44166666666666665
"Corruption_Category_High_Corruption, Forest_Loss_Category_Low_Forest_Loss, Policy_Category_Weak_Policy",Year_Category_Middle_Year,0.2,0.33,0.11,0.5499999999999999,1.6666666666666663,1.0,0.044,1.4888888888888885,0.49999999999999994,0.26190476190476186,0.3283582089552238,0.44166666666666665
"Population_Category_High_Population, Policy_Category_Weak_Policy",Rainfall_Category_Low_Rainfall,0.23,0.34,0.13,0.5652173913043478,1.662404092071611,1.0,0.0518,1.5179999999999996,0.5174825174825174,0.2954545454545454,0.3412384716732542,0.4737851662404092
Country_Indonesia,Population_Category_High_Population,0.23,0.34,0.13,0.5652173913043478,1.662404092071611,1.0,0.0518,1.5179999999999996,0.5174825174825174,0.2954545454545454,0.3412384716732542,0.4737851662404092
"Population_Category_Medium_Population, Policy_Category_Weak_Policy",Aid_Category_Medium_Aid,0.23,0.34,0.13,0.5652173913043478,1.662404092071611,1.0,0.0518,1.5179999999999996,0.5174825174825174,0.2954545454545454,0.3412384716732542,0.4737851662404092
"Corruption_Category_High_Corruption, Aid_Category_Medium_Aid, Policy_Category_Weak_Policy",Population_Category_Medium_Population,0.22,0.33,0.12,0.5454545454545454,1.652892561983471,1.0,0.0474,1.4739999999999998,0.5064102564102564,0.2790697674418604,0.32157394843962,0.4545454545454545
"Agriculture_Land_Category_Low_Agriculture_Land, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Tree_Cover_Loss_Category_Medium_Tree_Cover_Loss,0.22,0.33,0.12,0.5454545454545454,1.652892561983471,1.0,0.0474,1.4739999999999998,0.5064102564102564,0.2790697674418604,0.32157394843962,0.4545454545454545
"Agriculture_Land_Category_Low_Agriculture_Land, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Aid_Category_High_Aid,0.22,0.33,0.12,0.5454545454545454,1.652892561983471,1.0,0.0474,1.4739999999999998,0.5064102564102564,0.2790697674418604,0.32157394843962,0.4545454545454545
"Country_Indonesia, Policy_Category_Weak_Policy","Corruption_Category_High_Corruption, Tree_Cover_Loss_Category_High_Tree_Cover_Loss",0.19,0.32,0.1,0.5263157894736842,1.644736842105263,1.0,0.039200000000000006,1.4355555555555553,0.4839506172839506,0.24390243902439024,0.3034055727554179,0.4194078947368421
"Rainfall_Category_Low_Rainfall, Policy_Category_Weak_Policy",Protected_Areas_Category_Medium_Protected_Area,0.24,0.33,0.13,0.5416666666666667,1.6414141414141417,1.0,0.0508,1.461818181818182,0.5141700404858299,0.2954545454545454,0.31592039800995037,0.46780303030303033
"Rainfall_Category_Low_Rainfall, Policy_Category_Weak_Policy",Aid_Category_High_Aid,0.24,0.33,0.13,0.5416666666666667,1.6414141414141417,1.0,0.0508,1.461818181818182,0.5141700404858299,0.2954545454545454,0.31592039800995037,0.46780303030303033
"Forest_Loss_Category_Low_Forest_Loss, Policy_Category_Weak_Policy","Corruption_Category_High_Corruption, Year_Category_Middle_Year",0.21,0.32,0.11,0.5238095238095238,1.6369047619047619,1.0,0.042800000000000005,1.428,0.49252013808975836,0.26190476190476186,0.2997198879551821,0.4337797619047619
"Forest_Loss_Category_Medium_Forest_Loss, Policy_Category_Weak_Policy","Agriculture_Land_Category_High_Agriculture_Land, Corruption_Category_High_Corruption",0.26,0.31,0.13,0.5,1.6129032258064517,1.0,0.0494,1.38,0.5135135135135135,0.2954545454545454,0.2753623188405797,0.45967741935483875
"Policy_Category_Weak_Policy, Tree_Cover_Loss_Category_Low_Tree_Cover_Loss","Protected_Areas_Category_Medium_Protected_Area, Corruption_Category_High_Corruption",0.2,0.31,0.1,0.5,1.6129032258064517,1.0,0.038000000000000006,1.38,0.475,0.24390243902439024,0.2753623188405797,0.4112903225806452
"Population_Category_Medium_Population, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Aid_Category_Medium_Aid,0.22,0.34,0.12,0.5454545454545454,1.60427807486631,1.0,0.04519999999999999,1.4519999999999997,0.4829059829059828,0.2727272727272727,0.3112947658402203,0.4491978609625668
"Population_Category_High_Population, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Rainfall_Category_Low_Rainfall,0.22,0.34,0.12,0.5454545454545454,1.60427807486631,1.0,0.04519999999999999,1.4519999999999997,0.4829059829059828,0.2727272727272727,0.3112947658402203,0.4491978609625668
"Rainfall_Category_Low_Rainfall, Policy_Category_Weak_Policy",Population_Category_High_Population,0.24,0.34,0.13,0.5416666666666667,1.593137254901961,1.0,0.0484,1.4400000000000002,0.4898785425101215,0.28888888888888886,0.3055555555555557,0.46200980392156865
"Forest_Loss_Category_Low_Forest_Loss, Policy_Category_Weak_Policy",Year_Category_Middle_Year,0.21,0.33,0.11,0.5238095238095238,1.5873015873015872,1.0,0.0407,1.407,0.46835443037974683,0.25581395348837205,0.28926794598436395,0.4285714285714286
"Forest_Loss_Category_Low_Forest_Loss, Policy_Category_Weak_Policy",GDP_Category_Medium_GDP,0.21,0.33,0.11,0.5238095238095238,1.5873015873015872,1.0,0.0407,1.407,0.46835443037974683,0.25581395348837205,0.28926794598436395,0.4285714285714286
"Rainfall_Category_Low_Rainfall, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Aid_Category_High_Aid,0.23,0.33,0.12,0.5217391304347826,1.5810276679841897,1.0,0.044099999999999986,1.4009090909090907,0.4772727272727271,0.2727272727272727,0.2861778066190785,0.4426877470355731
"GDP_Category_Low_GDP, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Year_Category_Recent_Year,0.23,0.33,0.12,0.5217391304347826,1.5810276679841897,1.0,0.044099999999999986,1.4009090909090907,0.4772727272727271,0.2727272727272727,0.2861778066190785,0.4426877470355731
Country_Brazil,Population_Category_Medium_Population,0.23,0.33,0.12,0.5217391304347826,1.5810276679841897,1.0,0.044099999999999986,1.4009090909090907,0.4772727272727271,0.2727272727272727,0.2861778066190785,0.4426877470355731
"GDP_Category_Low_GDP, Policy_Category_Weak_Policy",Year_Category_Recent_Year,0.23,0.33,0.12,0.5217391304347826,1.5810276679841897,1.0,0.044099999999999986,1.4009090909090907,0.4772727272727271,0.2727272727272727,0.2861778066190785,0.4426877470355731
"Agriculture_Land_Category_Low_Agriculture_Land, Policy_Category_Weak_Policy",Tree_Cover_Loss_Category_Medium_Tree_Cover_Loss,0.23,0.33,0.12,0.5217391304347826,1.5810276679841897,1.0,0.044099999999999986,1.4009090909090907,0.4772727272727271,0.2727272727272727,0.2861778066190785,0.4426877470355731
"GDP_Category_High_GDP, Policy_Category_Weak_Policy","CO2_Category_Low_CO2, Corruption_Category_High_Corruption",0.23,0.33,0.12,0.5217391304347826,1.5810276679841897,1.0,0.044099999999999986,1.4009090909090907,0.4772727272727271,0.2727272727272727,0.2861778066190785,0.4426877470355731
"Policy_Category_Moderate_Policy, Corruption_Category_High_Corruption",Agriculture_Land_Category_Medium_Agriculture_Land,0.25,0.33,0.13,0.52,1.5757575757575757,1.0,0.0475,1.3958333333333333,0.48717948717948717,0.28888888888888886,0.28358208955223885,0.45696969696969697
"Year_Category_Recent_Year, Corruption_Category_High_Corruption",GDP_Category_Low_GDP,0.29,0.33,0.15,0.5172413793103449,1.567398119122257,1.0,0.0543,1.387857142857143,0.5098591549295775,0.3191489361702128,0.2794647452393207,0.48589341692789967
"Agriculture_Land_Category_High_Agriculture_Land, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Rainfall_Category_Medium_Rainfall,0.28,0.32,0.14,0.5,1.5625,1.0,0.0504,1.3599999999999999,0.5,0.3043478260869565,0.2647058823529412,0.46875
"Policy_Category_Weak_Policy, Year_Category_Old_Year","Corruption_Category_High_Corruption, GDP_Category_High_GDP",0.22,0.32,0.11,0.5,1.5625,1.0,0.039599999999999996,1.3599999999999999,0.4615384615384615,0.25581395348837205,0.2647058823529412,0.421875
"Policy_Category_Weak_Policy, Illegal_Lumbering_Category_Medium_Illegal_Lumbering","Corruption_Category_High_Corruption, Tree_Cover_Loss_Category_High_Tree_Cover_Loss",0.22,0.32,0.11,0.5,1.5625,1.0,0.039599999999999996,1.3599999999999999,0.4615384615384615,0.25581395348837205,0.2647058823529412,0.421875
"Policy_Category_Weak_Policy, Tree_Cover_Loss_Category_Low_Tree_Cover_Loss",Rainfall_Category_Medium_Rainfall,0.2,0.32,0.1,0.5,1.5625,1.0,0.036000000000000004,1.3599999999999999,0.44999999999999996,0.23809523809523808,0.2647058823529412,0.40625
"Policy_Category_Weak_Policy, Corruption_Category_High_Corruption, Tree_Cover_Loss_Category_Low_Tree_Cover_Loss",Rainfall_Category_Medium_Rainfall,0.2,0.32,0.1,0.5,1.5625,1.0,0.036000000000000004,1.3599999999999999,0.44999999999999996,0.23809523809523808,0.2647058823529412,0.40625
Protected_Areas_Category_High_Protected_Area,Aid_Category_Medium_Aid,0.34,0.34,0.18,0.5294117647058822,1.557093425605536,1.0,0.06439999999999997,1.4024999999999994,0.542087542087542,0.36,0.28698752228163976,0.5294117647058822
Aid_Category_Medium_Aid,Protected_Areas_Category_High_Protected_Area,0.34,0.34,0.18,0.5294117647058822,1.557093425605536,1.0,0.06439999999999997,1.4024999999999994,0.542087542087542,0.36,0.28698752228163976,0.5294117647058822
"Country_Indonesia, Policy_Category_Weak_Policy",Population_Category_High_Population,0.19,0.34,0.1,0.5263157894736842,1.547987616099071,1.0,0.0354,1.393333333333333,0.43703703703703695,0.23255813953488372,0.2822966507177033,0.41021671826625383
"Country_Indonesia, Corruption_Category_High_Corruption",Tree_Cover_Loss_Category_High_Tree_Cover_Loss,0.21,0.34,0.11,0.5238095238095238,1.5406162464985995,1.0,0.038599999999999995,1.386,0.44418872266973525,0.24999999999999997,0.2784992784992785,0.42366946778711484
"Protected_Areas_Category_High_Protected_Area, Policy_Category_Weak_Policy",Agriculture_Land_Category_High_Agriculture_Land,0.23,0.34,0.12,0.5217391304347826,1.5345268542199486,1.0,0.04179999999999999,1.38,0.4523809523809523,0.2666666666666666,0.2753623188405797,0.4373401534526854
"GDP_Category_High_GDP, Policy_Category_Weak_Policy",CO2_Category_Low_CO2,0.23,0.34,0.12,0.5217391304347826,1.5345268542199486,1.0,0.04179999999999999,1.38,0.4523809523809523,0.2666666666666666,0.2753623188405797,0.4373401534526854
Country_Indonesia,Tree_Cover_Loss_Category_High_Tree_Cover_Loss,0.23,0.34,0.12,0.5217391304347826,1.5345268542199486,1.0,0.04179999999999999,1.38,0.4523809523809523,0.2666666666666666,0.2753623188405797,0.4373401534526854
"Aid_Category_Medium_Aid, Policy_Category_Weak_Policy",Agriculture_Land_Category_High_Agriculture_Land,0.23,0.34,0.12,0.5217391304347826,1.5345268542199486,1.0,0.04179999999999999,1.38,0.4523809523809523,0.2666666666666666,0.2753623188405797,0.4373401534526854
"Corruption_Category_High_Corruption, GDP_Category_High_GDP, Policy_Category_Weak_Policy",CO2_Category_Low_CO2,0.23,0.34,0.12,0.5217391304347826,1.5345268542199486,1.0,0.04179999999999999,1.38,0.4523809523809523,0.2666666666666666,0.2753623188405797,0.4373401534526854
"Rainfall_Category_Low_Rainfall, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Population_Category_High_Population,0.23,0.34,0.12,0.5217391304347826,1.5345268542199486,1.0,0.04179999999999999,1.38,0.4523809523809523,0.2666666666666666,0.2753623188405797,0.4373401534526854
"Protected_Areas_Category_Medium_Protected_Area, Policy_Category_Weak_Policy",Rainfall_Category_Low_Rainfall,0.25,0.34,0.13,0.52,1.5294117647058822,1.0,0.045,1.3749999999999998,0.4615384615384615,0.2826086956521739,0.27272727272727276,0.4511764705882353
"Protected_Areas_Category_Medium_Protected_Area, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Rainfall_Category_Low_Rainfall,0.25,0.34,0.13,0.52,1.5294117647058822,1.0,0.045,1.3749999999999998,0.4615384615384615,0.2826086956521739,0.27272727272727276,0.4511764705882353
"Forest_Loss_Category_Medium_Forest_Loss, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Agriculture_Land_Category_High_Agriculture_Land,0.25,0.34,0.13,0.52,1.5294117647058822,1.0,0.045,1.3749999999999998,0.4615384615384615,0.2826086956521739,0.27272727272727276,0.4511764705882353
"Corruption_Category_High_Corruption, Aid_Category_Medium_Aid",Protected_Areas_Category_High_Protected_Area,0.31,0.34,0.16,0.5161290322580645,1.5180265654648954,1.0,0.054599999999999996,1.3639999999999999,0.4945652173913043,0.326530612244898,0.2668621700879765,0.49335863377609107
Rainfall_Category_Low_Rainfall,Aid_Category_High_Aid,0.34,0.33,0.17,0.5,1.5151515151515151,1.0,0.057800000000000004,1.3399999999999999,0.5151515151515152,0.34,0.2537313432835821,0.5075757575757576
Policy_Category_Moderate_Policy,Agriculture_Land_Category_Medium_Agriculture_Land,0.3,0.33,0.15,0.5,1.5151515151515151,1.0,0.05099999999999999,1.3399999999999999,0.48571428571428565,0.3125,0.2537313432835821,0.4772727272727273
"Policy_Category_Weak_Policy, Aid_Category_High_Aid",Agriculture_Land_Category_Low_Agriculture_Land,0.26,0.33,0.13,0.5,1.5151515151515151,1.0,0.0442,1.3399999999999999,0.45945945945945943,0.2826086956521739,0.2537313432835821,0.44696969696969696
"Year_Category_Recent_Year, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",GDP_Category_Low_GDP,0.24,0.33,0.12,0.5,1.5151515151515151,1.0,0.04079999999999999,1.3399999999999999,0.4473684210526314,0.2666666666666666,0.2537313432835821,0.43181818181818177
"Illegal_Lumbering_Category_Low_Illegal_Lumbering, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Tree_Cover_Loss_Category_Medium_Tree_Cover_Loss,0.24,0.33,0.12,0.5,1.5151515151515151,1.0,0.04079999999999999,1.3399999999999999,0.4473684210526314,0.2666666666666666,0.2537313432835821,0.43181818181818177
"Year_Category_Middle_Year, Policy_Category_Weak_Policy",Forest_Loss_Category_Low_Forest_Loss,0.22,0.33,0.11,0.5,1.5151515151515151,1.0,0.0374,1.3399999999999999,0.4358974358974359,0.24999999999999997,0.2537313432835821,0.41666666666666663
"Country_Russia, Corruption_Category_High_Corruption",Aid_Category_Low_Aid,0.22,0.33,0.11,0.5,1.5151515151515151,1.0,0.0374,1.3399999999999999,0.4358974358974359,0.24999999999999997,0.2537313432835821,0.41666666666666663
"Country_Russia, Corruption_Category_High_Corruption",Forest_Loss_Category_Low_Forest_Loss,0.22,0.33,0.11,0.5,1.5151515151515151,1.0,0.0374,1.3399999999999999,0.4358974358974359,0.24999999999999997,0.2537313432835821,0.41666666666666663
"Policy_Category_Weak_Policy, Corruption_Category_High_Corruption, Year_Category_Middle_Year",Forest_Loss_Category_Low_Forest_Loss,0.22,0.33,0.11,0.5,1.5151515151515151,1.0,0.0374,1.3399999999999999,0.4358974358974359,0.24999999999999997,0.2537313432835821,0.41666666666666663
"Policy_Category_Weak_Policy, Year_Category_Old_Year","CO2_Category_Low_CO2, Corruption_Category_High_Corruption",0.22,0.33,0.11,0.5,1.5151515151515151,1.0,0.0374,1.3399999999999999,0.4358974358974359,0.24999999999999997,0.2537313432835821,0.41666666666666663
"Rainfall_Category_High_Rainfall, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Population_Category_Low_Population,0.22,0.33,0.11,0.5,1.5151515151515151,1.0,0.0374,1.3399999999999999,0.4358974358974359,0.24999999999999997,0.2537313432835821,0.41666666666666663
"Policy_Category_Weak_Policy, Corruption_Category_High_Corruption, CO2_Category_High_CO2",GDP_Category_Low_GDP,0.2,0.33,0.1,0.5,1.5151515151515151,1.0,0.034,1.3399999999999999,0.42499999999999993,0.23255813953488372,0.2537313432835821,0.4015151515151515
"Policy_Category_Weak_Policy, Corruption_Category_High_Corruption, Tree_Cover_Loss_Category_Low_Tree_Cover_Loss",Protected_Areas_Category_Medium_Protected_Area,0.2,0.33,0.1,0.5,1.5151515151515151,1.0,0.034,1.3399999999999999,0.42499999999999993,0.23255813953488372,0.2537313432835821,0.4015151515151515
"Policy_Category_Weak_Policy, Tree_Cover_Loss_Category_Low_Tree_Cover_Loss",Protected_Areas_Category_Medium_Protected_Area,0.2,0.33,0.1,0.5,1.5151515151515151,1.0,0.034,1.3399999999999999,0.42499999999999993,0.23255813953488372,0.2537313432835821,0.4015151515151515
"Country_Brazil, Corruption_Category_High_Corruption",Agriculture_Land_Category_Low_Agriculture_Land,0.2,0.33,0.1,0.5,1.5151515151515151,1.0,0.034,1.3399999999999999,0.42499999999999993,0.23255813953488372,0.2537313432835821,0.4015151515151515
"Policy_Category_Weak_Policy, Corruption_Category_High_Corruption, CO2_Category_High_CO2",Aid_Category_High_Aid,0.2,0.33,0.1,0.5,1.5151515151515151,1.0,0.034,1.3399999999999999,0.42499999999999993,0.23255813953488372,0.2537313432835821,0.4015151515151515
"Corruption_Category_High_Corruption, Forest_Loss_Category_Low_Forest_Loss, Policy_Category_Weak_Policy",GDP_Category_Medium_GDP,0.2,0.33,0.1,0.5,1.5151515151515151,1.0,0.034,1.3399999999999999,0.42499999999999993,0.23255813953488372,0.2537313432835821,0.4015151515151515
Aid_Category_High_Aid,Rainfall_Category_Low_Rainfall,0.33,0.34,0.17,0.5151515151515151,1.515151515151515,1.0,0.057800000000000004,1.3612499999999998,0.5074626865671642,0.34,0.26538108356290174,0.5075757575757576
"CO2_Category_Low_CO2, Forest_Loss_Category_Medium_Forest_Loss","Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",0.12,0.68,0.12,1.0,1.4705882352941175,1.0,0.03839999999999999,inf,0.36363636363636354,0.1764705882352941,1.0,0.5882352941176471
"CO2_Category_Low_CO2, Tree_Cover_Loss_Category_Medium_Tree_Cover_Loss","Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",0.11,0.68,0.11,1.0,1.4705882352941175,1.0,0.035199999999999995,inf,0.35955056179775274,0.16176470588235292,1.0,0.5808823529411764
"CO2_Category_Low_CO2, Protected_Areas_Category_Low_Protected_Area","Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",0.1,0.68,0.1,1.0,1.4705882352941175,1.0,0.032,inf,0.3555555555555555,0.14705882352941177,1.0,0.5735294117647058
"Agriculture_Land_Category_High_Agriculture_Land, Aid_Category_Low_Aid","Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",0.1,0.68,0.1,1.0,1.4705882352941175,1.0,0.032,inf,0.3555555555555555,0.14705882352941177,1.0,0.5735294117647058
