Country,Year,Forest_Loss_Area_km2,Tree_Cover_Loss_percent,CO2_Emission_mt,Rainfall_mm,Population,GDP_Billion_USD,Agriculture_Land_Percent,Deforestation_Policy_Strictness,Corruption_Index,International_Aid_Million_USD,Illegal_Lumbering_Incidents,Protected_Areas_Percent,Forest_Loss_Category,Tree_Cover_Loss_Category,CO2_Category,Rainfall_Category,Population_Category,GDP_Category,Agriculture_Land_Category,Aid_Category,Illegal_Lumbering_Category,Protected_Areas_Category,Year_Category,Policy_Category,Corruption_Category
Brazil,2013.0,3862.0,2.366638220514417,464.0,2576.8400012224783,41527788.0,970.4791782671643,14.028277249500167,2.0,76.87132964667173,481.0,65.0,18.70165186499443,High_Forest_Loss,Low_Tree_Cover_Loss,High_CO2,High_Rainfall,Medium_Population,Low_GDP,Low_Agriculture_Land,High_Aid,Low_Illegal_Lumbering,Medium_Protected_Area,Recent_Year,Weak_Policy,High_Corruption
Russia,1985.0,503.0,5.851531566940415,341.0,2949.557610095866,10149419.0,2352.792463882874,14.089687054369456,3.0,34.408325135316296,169.0,183.0,10.1273518907877,Low_Forest_Loss,Medium_Tree_Cover_Loss,High_CO2,High_Rainfall,Low_Population,Medium_GDP,Low_Agriculture_Land,Low_Aid,High_Illegal_Lumbering,Low_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
Indonesia,2016.0,1660.0,9.791851373364675,278.0,1412.943433078928,64276556.0,2796.611552374946,19.548329618470035,1.0,2.995550244681888,342.0,11.0,6.266878260477483,Medium_Forest_Loss,High_Tree_Cover_Loss,Medium_CO2,Low_Rainfall,High_Population,Medium_GDP,Low_Agriculture_Land,High_Aid,Low_Illegal_Lumbering,Low_Protected_Area,Recent_Year,Weak_Policy,Low_Corruption
Russia,1939.0,4107.0,1.7563756024168702,177.0,2961.6272018336995,15483477.0,4403.075643550324,27.19279063260521,4.0,46.06229161087416,227.0,88.0,25.33939927083024,High_Forest_Loss,Low_Tree_Cover_Loss,Medium_CO2,High_Rainfall,Low_Population,High_GDP,Medium_Agriculture_Land,Medium_Aid,Medium_Illegal_Lumbering,High_Protected_Area,Old_Year,Moderate_Policy,High_Corruption
Indonesia,1937.0,1762.0,9.032619341264745,104.0,1348.7559993605355,94130063.0,3475.404602677841,39.68714004940552,2.0,82.67303452038524,450.0,19.0,20.635433910388915,Medium_Forest_Loss,High_Tree_Cover_Loss,Low_CO2,Low_Rainfall,High_Population,High_GDP,Medium_Agriculture_Land,High_Aid,Low_Illegal_Lumbering,Medium_Protected_Area,Old_Year,Weak_Policy,High_Corruption
Brazil,1998.0,2920.0,5.490888222662007,157.0,1159.564731807056,8326341.0,1584.1078995858277,17.151889980130214,3.0,43.74645992646343,461.0,62.0,14.790491787683878,Medium_Forest_Loss,Medium_Tree_Cover_Loss,Low_CO2,Low_Rainfall,Low_Population,Low_GDP,Low_Agriculture_Land,High_Aid,Low_Illegal_Lumbering,Medium_Protected_Area,Recent_Year,Weak_Policy,High_Corruption
India,1934.0,3150.0,5.871326090227121,92.0,1587.224770179605,95762966.0,2230.36642566946,15.801254515553689,3.0,80.27132731792148,332.0,162.0,17.683095696258377,High_Forest_Loss,Medium_Tree_Cover_Loss,Low_CO2,Low_Rainfall,High_Population,Medium_GDP,Low_Agriculture_Land,High_Aid,High_Illegal_Lumbering,Medium_Protected_Area,Old_Year,Weak_Policy,High_Corruption
Brazil,2008.0,3276.0,9.147016774601491,382.0,1012.3521374587668,22710583.0,3662.3344340845497,31.273277893956703,4.0,80.65637077905697,330.0,79.0,24.34630861033264,High_Forest_Loss,High_Tree_Cover_Loss,High_CO2,Low_Rainfall,Low_Population,High_GDP,Medium_Agriculture_Land,Medium_Aid,Medium_Illegal_Lumbering,High_Protected_Area,Recent_Year,Moderate_Policy,High_Corruption
Indonesia,1934.0,1052.0,7.775580007343609,150.0,1694.4817194139068,91448982.0,595.343242746998,40.09953708194232,4.0,96.86692495954988,212.0,69.0,24.095444377349576,Low_Forest_Loss,High_Tree_Cover_Loss,Low_CO2,Medium_Rainfall,High_Population,Low_GDP,Medium_Agriculture_Land,Medium_Aid,Low_Illegal_Lumbering,High_Protected_Area,Old_Year,Moderate_Policy,High_Corruption
Russia,2021.0,2010.0,4.902368236247629,450.0,1920.497494986564,81606532.0,1562.739853297829,44.40864745994617,4.0,4.032834074247016,343.0,92.0,22.47795168836648,Medium_Forest_Loss,Medium_Tree_Cover_Loss,High_CO2,Medium_Rainfall,High_Population,Low_GDP,High_Agriculture_Land,High_Aid,Medium_Illegal_Lumbering,Medium_Protected_Area,Recent_Year,Moderate_Policy,Medium_Corruption
Russia,2005.0,3268.0,7.346029776028246,246.0,1812.0975402645631,66693882.0,2441.7134584028126,53.42602226834544,3.0,35.27507225963221,30.0,119.0,27.4335353507506,High_Forest_Loss,High_Tree_Cover_Loss,Medium_CO2,Medium_Rainfall,High_Population,Medium_GDP,High_Agriculture_Land,Low_Aid,Medium_Illegal_Lumbering,High_Protected_Area,Recent_Year,Weak_Policy,High_Corruption
Brazil,1928.0,1287.0,2.9026128710884045,29.0,1347.8778391006035,79175415.0,4368.420826033918,22.68800670194362,4.0,98.37720193826966,163.0,90.0,13.494025017220244,Low_Forest_Loss,Low_Tree_Cover_Loss,Low_CO2,Low_Rainfall,High_Population,High_GDP,Low_Agriculture_Land,Low_Aid,Medium_Illegal_Lumbering,Medium_Protected_Area,Old_Year,Moderate_Policy,High_Corruption
Brazil,1946.0,4683.0,6.667167418526512,165.0,2629.0401455258407,55082500.0,316.57519851258405,21.01962435559997,2.0,53.05801237176589,253.0,178.0,27.38899740086671,High_Forest_Loss,Medium_Tree_Cover_Loss,Low_CO2,High_Rainfall,Medium_Population,Low_GDP,Low_Agriculture_Land,Medium_Aid,High_Illegal_Lumbering,High_Protected_Area,Old_Year,Weak_Policy,High_Corruption
India,1926.0,3648.0,4.250085764137929,23.0,1772.0289743412652,6489658.0,4902.380881847538,53.1562232783503,3.0,60.34410856546195,188.0,4.0,7.631821475393931,High_Forest_Loss,Medium_Tree_Cover_Loss,Low_CO2,Medium_Rainfall,Low_Population,High_GDP,High_Agriculture_Land,Medium_Aid,Low_Illegal_Lumbering,Low_Protected_Area,Old_Year,Weak_Policy,High_Corruption
Russia,1948.0,4842.0,8.753437291961799,51.0,1091.0367662148517,23646300.0,4413.75068475755,59.66608223471041,4.0,0.1428651005822567,267.0,164.0,28.057989843348945,High_Forest_Loss,High_Tree_Cover_Loss,Low_CO2,Low_Rainfall,Low_Population,High_GDP,High_Agriculture_Land,Medium_Aid,High_Illegal_Lumbering,High_Protected_Area,Old_Year,Moderate_Policy,Low_Corruption
Brazil,1960.0,3428.0,3.279827495272036,261.0,1617.2264672871895,46946149.0,3086.264806292136,13.32746371074864,1.0,29.61106880317146,21.0,146.0,14.77665557476194,High_Forest_Loss,Low_Tree_Cover_Loss,Medium_CO2,Low_Rainfall,Medium_Population,Medium_GDP,Low_Agriculture_Land,Low_Aid,High_Illegal_Lumbering,Medium_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
Indonesia,1954.0,2161.0,3.794094382952584,179.0,1100.948401288539,95981056.0,2317.472462602212,11.248272622638927,1.0,66.36505609264212,499.0,84.0,5.724487820911079,Medium_Forest_Loss,Low_Tree_Cover_Loss,Medium_CO2,Low_Rainfall,High_Population,Medium_GDP,Low_Agriculture_Land,High_Aid,Medium_Illegal_Lumbering,Low_Protected_Area,Old_Year,Weak_Policy,High_Corruption
Brazil,1962.0,4536.0,5.023158690619656,209.0,2984.6020773700407,81872905.0,3092.651407052508,14.760814808999251,4.0,51.65484807304894,452.0,170.0,7.530258141636832,High_Forest_Loss,Medium_Tree_Cover_Loss,Medium_CO2,High_Rainfall,High_Population,Medium_GDP,Low_Agriculture_Land,High_Aid,High_Illegal_Lumbering,Low_Protected_Area,Middle_Year,Moderate_Policy,High_Corruption
India,1989.0,982.0,1.633280503694639,174.0,1682.5061627472032,5000246.0,3902.21736423418,38.727430493654005,1.0,36.73604490447593,212.0,196.0,15.764877936493116,Low_Forest_Loss,Low_Tree_Cover_Loss,Medium_CO2,Medium_Rainfall,Low_Population,High_GDP,Medium_Agriculture_Land,Medium_Aid,High_Illegal_Lumbering,Medium_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
Brazil,1936.0,876.0,8.09005138251689,241.0,1480.1801882174168,19474496.0,4331.436902086645,43.00037843626782,4.0,72.56724907176353,473.0,56.0,14.830767275524522,Low_Forest_Loss,High_Tree_Cover_Loss,Medium_CO2,Low_Rainfall,Low_Population,High_GDP,High_Agriculture_Land,High_Aid,Low_Illegal_Lumbering,Medium_Protected_Area,Old_Year,Moderate_Policy,High_Corruption
India,1929.0,1545.0,1.8289456973512304,227.0,1646.9158994829018,56940874.0,4326.347371395622,26.75921237506097,1.0,28.37698717084719,243.0,42.0,17.853899739145003,Low_Forest_Loss,Low_Tree_Cover_Loss,Medium_CO2,Low_Rainfall,Medium_Population,High_GDP,Medium_Agriculture_Land,Medium_Aid,Low_Illegal_Lumbering,Medium_Protected_Area,Old_Year,Weak_Policy,High_Corruption
Russia,1976.0,1250.0,9.56587269544047,148.0,1414.8034608245157,71040803.0,1027.7898287308014,57.32095888350655,2.0,76.86141849189225,178.0,20.0,14.704814359859066,Low_Forest_Loss,High_Tree_Cover_Loss,Low_CO2,Low_Rainfall,High_Population,Low_GDP,High_Agriculture_Land,Medium_Aid,Low_Illegal_Lumbering,Medium_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
Russia,1953.0,763.0,6.577732631919626,400.0,2853.834607795471,43454393.0,2732.0312654272216,31.50975543399832,3.0,92.56887950673188,331.0,4.0,25.61068795765804,Low_Forest_Loss,Medium_Tree_Cover_Loss,High_CO2,High_Rainfall,Medium_Population,Medium_GDP,Medium_Agriculture_Land,Medium_Aid,Low_Illegal_Lumbering,High_Protected_Area,Old_Year,Weak_Policy,High_Corruption
Brazil,1986.0,2859.0,6.484324507241338,315.0,2225.23674481036,51276960.0,4682.090170441743,20.18210706050917,1.0,73.18301229130472,466.0,169.0,7.9767450191155955,Medium_Forest_Loss,Medium_Tree_Cover_Loss,Medium_CO2,Medium_Rainfall,Medium_Population,High_GDP,Low_Agriculture_Land,High_Aid,High_Illegal_Lumbering,Low_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
India,1926.0,2568.0,2.8980904887133727,177.0,1800.140642447919,68509224.0,3480.203196094915,16.92315058713212,4.0,99.49228375628628,62.0,8.0,17.30714930041743,Medium_Forest_Loss,Low_Tree_Cover_Loss,Medium_CO2,Medium_Rainfall,High_Population,High_GDP,Low_Agriculture_Land,Low_Aid,Low_Illegal_Lumbering,Medium_Protected_Area,Old_Year,Moderate_Policy,High_Corruption
Australia,1984.0,2700.0,6.7570043764163685,63.0,1071.69101733945,94470829.0,646.4490300287669,25.18376243649506,2.0,77.22439311704002,342.0,5.0,22.304326990816875,Medium_Forest_Loss,Medium_Tree_Cover_Loss,Low_CO2,Low_Rainfall,High_Population,Low_GDP,Low_Agriculture_Land,High_Aid,Low_Illegal_Lumbering,Medium_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
Russia,1971.0,1417.0,9.382646864787024,172.0,1819.711654409201,64346059.0,409.7904737444142,28.244982491961743,4.0,24.753726710127143,174.0,189.0,24.136089107986027,Low_Forest_Loss,High_Tree_Cover_Loss,Medium_CO2,Medium_Rainfall,High_Population,Low_GDP,Medium_Agriculture_Land,Medium_Aid,High_Illegal_Lumbering,High_Protected_Area,Middle_Year,Moderate_Policy,High_Corruption
Indonesia,2017.0,4531.0,9.569052888786151,237.0,2511.602560204513,22993250.0,986.3053979222047,41.26105595412915,1.0,24.839774966891717,474.0,67.0,29.305297017115272,High_Forest_Loss,High_Tree_Cover_Loss,Medium_CO2,High_Rainfall,Low_Population,Low_GDP,Medium_Agriculture_Land,High_Aid,Low_Illegal_Lumbering,High_Protected_Area,Recent_Year,Weak_Policy,High_Corruption
India,1951.0,3343.0,6.955966103610807,313.0,1942.9693849001449,44981546.0,4559.929971352109,43.10202076152603,3.0,51.32745394665588,211.0,85.0,22.66991180602629,High_Forest_Loss,High_Tree_Cover_Loss,Medium_CO2,Medium_Rainfall,Medium_Population,High_GDP,High_Agriculture_Land,Medium_Aid,Medium_Illegal_Lumbering,High_Protected_Area,Old_Year,Weak_Policy,High_Corruption
Indonesia,1964.0,945.0,3.051646778989411,103.0,2240.703000079296,91722054.0,3305.2110572446195,48.07345448620782,2.0,48.25839350278331,349.0,54.0,10.336387508470828,Low_Forest_Loss,Low_Tree_Cover_Loss,Low_CO2,Medium_Rainfall,High_Population,High_GDP,High_Agriculture_Land,High_Aid,Low_Illegal_Lumbering,Low_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
Indonesia,1943.0,1353.0,7.642289587846644,308.0,1270.8683382354911,52323352.0,1519.3192885970975,11.534542784143955,2.0,19.663895457620573,456.0,111.0,14.963142881193416,Low_Forest_Loss,High_Tree_Cover_Loss,Medium_CO2,Low_Rainfall,Medium_Population,Low_GDP,Low_Agriculture_Land,High_Aid,Medium_Illegal_Lumbering,Medium_Protected_Area,Old_Year,Weak_Policy,High_Corruption
Brazil,1984.0,560.0,4.878504043353978,279.0,2792.4676889264265,8866565.0,1709.3156872877687,23.98648527557623,1.0,17.447883067301674,336.0,26.0,29.807183326156128,Low_Forest_Loss,Medium_Tree_Cover_Loss,Medium_CO2,High_Rainfall,Low_Population,Medium_GDP,Low_Agriculture_Land,High_Aid,Low_Illegal_Lumbering,High_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
Russia,2008.0,889.0,1.918490854289793,106.0,2752.5847343934547,42156363.0,1601.2163409906077,40.4464043228324,3.0,53.34849999280997,196.0,82.0,17.78364335255273,Low_Forest_Loss,Low_Tree_Cover_Loss,Low_CO2,High_Rainfall,Medium_Population,Low_GDP,Medium_Agriculture_Land,Medium_Aid,Medium_Illegal_Lumbering,Medium_Protected_Area,Recent_Year,Weak_Policy,High_Corruption
Australia,1973.0,1304.0,7.340955754710976,319.0,2551.130761981078,10265616.0,2923.362858677541,43.94916874259429,2.0,31.048965781582677,69.0,100.0,25.72983105556616,Low_Forest_Loss,High_Tree_Cover_Loss,High_CO2,High_Rainfall,Low_Population,Medium_GDP,High_Agriculture_Land,Low_Aid,Medium_Illegal_Lumbering,High_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
Indonesia,2014.0,1972.0,6.605992249840972,353.0,1058.3618652496732,23790329.0,3937.376986552651,55.73790256431414,4.0,96.49946329942216,400.0,75.0,11.981057005294184,Medium_Forest_Loss,Medium_Tree_Cover_Loss,High_CO2,Low_Rainfall,Low_Population,High_GDP,High_Agriculture_Land,High_Aid,Medium_Illegal_Lumbering,Low_Protected_Area,Recent_Year,Moderate_Policy,High_Corruption
Brazil,1935.0,1707.0,3.762817750900835,131.0,2058.143019610708,51487544.0,1818.08216836608,56.206562235958536,1.0,52.15484100272225,25.0,141.0,9.023585064551533,Medium_Forest_Loss,Low_Tree_Cover_Loss,Low_CO2,Medium_Rainfall,Medium_Population,Medium_GDP,High_Agriculture_Land,Low_Aid,High_Illegal_Lumbering,Low_Protected_Area,Old_Year,Weak_Policy,High_Corruption
Australia,1996.0,3536.0,2.399044755477425,344.0,2141.866719613208,71939236.0,1474.4762023749618,57.63575900089666,2.0,6.217027334036718,437.0,134.0,22.287492177833315,High_Forest_Loss,Low_Tree_Cover_Loss,High_CO2,Medium_Rainfall,High_Population,Low_GDP,High_Agriculture_Land,High_Aid,Medium_Illegal_Lumbering,Medium_Protected_Area,Recent_Year,Weak_Policy,High_Corruption
Russia,1925.0,2973.0,8.437529443404802,168.0,2521.6986361265617,6991037.0,2369.6636497873,21.297865216856994,2.0,51.65732115470979,21.0,98.0,16.10940665544441,Medium_Forest_Loss,High_Tree_Cover_Loss,Low_CO2,High_Rainfall,Low_Population,Medium_GDP,Low_Agriculture_Land,Low_Aid,Medium_Illegal_Lumbering,Medium_Protected_Area,Old_Year,Weak_Policy,High_Corruption
Russia,2023.0,4031.0,3.709325841859829,257.0,2359.790218538158,10578284.0,229.57631084273743,29.461079247841788,1.0,31.038686833738403,0.0,69.0,27.085240260204696,High_Forest_Loss,Low_Tree_Cover_Loss,Medium_CO2,High_Rainfall,Low_Population,Low_GDP,Medium_Agriculture_Land,Low_Aid,Low_Illegal_Lumbering,High_Protected_Area,Recent_Year,Weak_Policy,High_Corruption
India,2018.0,4201.0,7.643363541032952,397.0,2024.547868848175,75562620.0,1565.9287592533813,37.25990833846841,3.0,43.348504593274974,112.0,59.0,26.20812302425796,High_Forest_Loss,High_Tree_Cover_Loss,High_CO2,Medium_Rainfall,High_Population,Low_GDP,Medium_Agriculture_Land,Low_Aid,Low_Illegal_Lumbering,High_Protected_Area,Recent_Year,Weak_Policy,High_Corruption
Brazil,1959.0,4265.0,2.1505131846820955,385.0,1574.3152291584506,38291319.0,3116.551012565517,29.235257418870805,4.0,8.4652864627359,332.0,105.0,6.5854675900586175,High_Forest_Loss,Low_Tree_Cover_Loss,High_CO2,Low_Rainfall,Medium_Population,Medium_GDP,Medium_Agriculture_Land,High_Aid,Medium_Illegal_Lumbering,Low_Protected_Area,Middle_Year,Moderate_Policy,High_Corruption
India,1960.0,4349.0,8.822255612875372,156.0,2654.754821048239,10926028.0,3321.6168183928694,18.450901340043917,4.0,6.032626930019491,103.0,133.0,27.66819254736269,High_Forest_Loss,High_Tree_Cover_Loss,Low_CO2,High_Rainfall,Low_Population,High_GDP,Low_Agriculture_Land,Low_Aid,Medium_Illegal_Lumbering,High_Protected_Area,Middle_Year,Moderate_Policy,High_Corruption
Brazil,1968.0,1247.0,3.519057071994565,242.0,2758.503014558143,31703573.0,987.5374089724256,29.338560014546047,4.0,2.133293784784851,124.0,188.0,5.264333319347548,Low_Forest_Loss,Low_Tree_Cover_Loss,Medium_CO2,High_Rainfall,Medium_Population,Low_GDP,Medium_Agriculture_Land,Low_Aid,High_Illegal_Lumbering,Low_Protected_Area,Middle_Year,Moderate_Policy,Low_Corruption
Brazil,1964.0,3091.0,5.035377959269413,424.0,2875.481661890916,35911144.0,4827.0724788671805,34.62223387768489,4.0,28.93452017979642,293.0,24.0,27.20912142576212,High_Forest_Loss,Medium_Tree_Cover_Loss,High_CO2,High_Rainfall,Medium_Population,High_GDP,Medium_Agriculture_Land,Medium_Aid,Low_Illegal_Lumbering,High_Protected_Area,Middle_Year,Moderate_Policy,High_Corruption
Indonesia,1982.0,731.0,7.194685281341921,307.0,1999.5592588429597,39365480.0,1914.1810526012464,36.51586484752921,2.0,35.678187172707034,423.0,83.0,18.86245953149485,Low_Forest_Loss,High_Tree_Cover_Loss,Medium_CO2,Medium_Rainfall,Medium_Population,Medium_GDP,Medium_Agriculture_Land,High_Aid,Medium_Illegal_Lumbering,Medium_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
Brazil,2022.0,1439.0,3.5670191563940525,196.0,1988.1274685903536,62578844.0,3932.763482586704,33.876259832373144,4.0,2.5188934380351857,257.0,83.0,7.335155489246452,Low_Forest_Loss,Low_Tree_Cover_Loss,Medium_CO2,Medium_Rainfall,High_Population,High_GDP,Medium_Agriculture_Land,Medium_Aid,Medium_Illegal_Lumbering,Low_Protected_Area,Recent_Year,Moderate_Policy,Low_Corruption
Indonesia,1938.0,2790.0,3.2382665498174714,324.0,1673.0314402902668,72417035.0,2442.9008647114806,31.10677281456618,4.0,77.01231472718362,414.0,156.0,10.323899303678992,Medium_Forest_Loss,Low_Tree_Cover_Loss,High_CO2,Medium_Rainfall,High_Population,Medium_GDP,Medium_Agriculture_Land,High_Aid,High_Illegal_Lumbering,Low_Protected_Area,Old_Year,Moderate_Policy,High_Corruption
Indonesia,1991.0,1517.0,6.835567812460969,345.0,2482.6061374349056,41099284.0,2510.395737102286,55.71572688407636,1.0,4.403926083647569,276.0,175.0,29.21064630569269,Low_Forest_Loss,Medium_Tree_Cover_Loss,High_CO2,High_Rainfall,Medium_Population,Medium_GDP,High_Agriculture_Land,Medium_Aid,High_Illegal_Lumbering,High_Protected_Area,Recent_Year,Weak_Policy,Medium_Corruption
Australia,1996.0,4949.0,9.3703388659475,71.0,2237.39839400576,2378670.0,192.13678917983916,56.28203927847355,1.0,31.737458457685264,131.0,142.0,25.38875530920311,High_Forest_Loss,High_Tree_Cover_Loss,Low_CO2,Medium_Rainfall,Low_Population,Low_GDP,High_Agriculture_Land,Low_Aid,High_Illegal_Lumbering,High_Protected_Area,Recent_Year,Weak_Policy,High_Corruption
Russia,1942.0,3779.0,9.357859472208986,452.0,1636.424912365282,15622623.0,4078.0382777105888,36.72253756416234,3.0,33.305354565419734,132.0,81.0,7.697875226320015,High_Forest_Loss,High_Tree_Cover_Loss,High_CO2,Low_Rainfall,Low_Population,High_GDP,Medium_Agriculture_Land,Low_Aid,Medium_Illegal_Lumbering,Low_Protected_Area,Old_Year,Weak_Policy,High_Corruption
Indonesia,1989.0,3731.0,3.036824022026223,170.0,2835.3042738855424,61078425.0,4461.222561187646,29.87440257120381,3.0,28.8479235146901,49.0,159.0,13.636439298874151,High_Forest_Loss,Low_Tree_Cover_Loss,Low_CO2,High_Rainfall,High_Population,High_GDP,Medium_Agriculture_Land,Low_Aid,High_Illegal_Lumbering,Medium_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
Russia,1997.0,4724.0,6.95775140150673,83.0,2950.3808242618934,18974497.0,2200.7478303475264,23.01073490928671,3.0,34.56238328982016,349.0,116.0,6.9404530908861375,High_Forest_Loss,High_Tree_Cover_Loss,Low_CO2,High_Rainfall,Low_Population,Medium_GDP,Low_Agriculture_Land,High_Aid,Medium_Illegal_Lumbering,Low_Protected_Area,Recent_Year,Weak_Policy,High_Corruption
Russia,1940.0,711.0,2.044600615792652,346.0,2595.2654637629576,54886693.0,4594.592434488528,25.03481006633277,4.0,58.44573143797711,113.0,13.0,6.204721251059973,Low_Forest_Loss,Low_Tree_Cover_Loss,High_CO2,High_Rainfall,Medium_Population,High_GDP,Low_Agriculture_Land,Low_Aid,Low_Illegal_Lumbering,Low_Protected_Area,Old_Year,Moderate_Policy,High_Corruption
Brazil,1935.0,3736.0,4.304900800031602,108.0,2540.517389807488,23203365.0,4744.170858480316,24.241967555463187,3.0,19.186451870381983,188.0,90.0,21.873649962549845,High_Forest_Loss,Medium_Tree_Cover_Loss,Low_CO2,High_Rainfall,Low_Population,High_GDP,Low_Agriculture_Land,Medium_Aid,Medium_Illegal_Lumbering,Medium_Protected_Area,Old_Year,Weak_Policy,High_Corruption
